ad_id,date_published,typology,asking_price_sek,land_area_sqm,living_area_sqm,sqm_price_sek,number_rooms,address,location,coordenates
21461633,2024-12-27,HOUSE,4745000.0,1218.0,230.0,3895.73,8.0,Vattlevägen 191,"Södra Åkarp, Vellinge kommun","55.4831772,13.0720005"
21461561,2024-12-27,HOUSE,3950000.0,520.0,132.0,7596.15,5.0,Stenfalksvägen 16C,"Falkenberg, Falkenbergs kommun","56.9131338,12.473896"
21461556,2024-12-27,APARTMENT,1495000.0,0.0,77.5,19290.0,3.0,Söderleden 1,"Johannelund, Linköpings kommun","58.39325,15.645534"
21461585,2024-12-27,APARTMENT,2995000.0,0.0,86.8,34505.0,4.0,Kapplandsgatan 82,"Göteborg, Göteborgs kommun","57.67011,11.93175"
21461510,2024-12-27,APARTMENT,1945000.0,0.0,40.0,48625.0,1.0,Hjalmar Brantingsgatan 21C,"Centrala Hisingen - Wieselgrensplatsen, Göteborgs kommun","57.72111,11.93863"
21461634,2024-12-27,APARTMENT,1000000.0,0.0,77.0,12987.0,3.0,Fadderortsgatan 2,"Rud, Karlstads kommun","59.4044075,13.5172749"
21461650,2024-12-27,APARTMENT,2095000.0,0.0,45.0,46556.0,2.0,Lydia Wahlströms gata 26,"Rosendal, Uppsala kommun","59.8341675,17.6305962"
21457582,2024-12-27,APARTMENT,1675000.0,0.0,41.9,39976.0,1.0,Solstickegatan 9,"Bäckalyckan, Jönköpings kommun","57.77941,14.14648"
21304467,2024-12-27,APARTMENT,2695000.0,0.0,83.0,32470.0,3.0,Garvaregatan 4B,"Centralt, Norrköpings kommun","58.5900523,16.1834663"
21461627,2024-12-27,APARTMENT,1495000.0,0.0,27.0,55370.0,1.0,Voxnegränd 4,"Bagarmossen, Stockholms kommun","59.2744865,18.1322918"
21461598,2024-12-27,HOUSE,5400000.0,547.0,145.6,9872.03,5.0,Åkerväddsgatan 1,"Dalby, Lunds kommun","55.6582031,13.3562069"
21461454,2024-12-27,APARTMENT,2095000.0,0.0,74.3,28197.0,3.0,Orvars väg 27,"NYBY, Uppsala kommun","59.8864975,17.6411343"
21461532,2024-12-27,APARTMENT,1795000.0,0.0,50.5,35545.0,2.0,Nedre Långvinkelsgatan 21,"Centrum, Helsingborgs kommun","56.04893,12.6948738"
21461646,2024-12-27,APARTMENT,1995000.0,0.0,94.0,21223.0,3.0,Morängatan 32,"Breared, Varbergs kommun","57.09028,12.2683"
21461635,2024-12-27,APARTMENT,17975000.0,0.0,213.0,84390.0,4.0,Sibyllegatan 14A,"Östermalm, Stockholms kommun","59.336647,18.0809879"
21461644,2024-12-27,APARTMENT,1995000.0,0.0,35.0,57000.0,1.0,Örby Slottsväg 46,"Örby / Örby Slott, Stockholms kommun","59.28008530747974,18.033561368711407"
21461188,2024-12-27,APARTMENT,2095000.0,0.0,96.5,21710.0,4.0,Sörgårdsvägen 8,"Bohus, Ale kommun","57.8442,12.01787"
21461576,2024-12-27,ROW_HOUSE,6750000.0,423.0,155.0,15957.45,6.0,Madbäcksvägen 2D,"Påvelund, Göteborgs kommun","57.6658669,11.8763437"
21461639,2024-12-27,APARTMENT,4895000.0,0.0,77.0,63571.0,3.0,Medaljonggatan 4B,"Älvsjöstaden, Stockholms kommun","59.2827339,17.9991474"
21461643,2024-12-27,APARTMENT,1445000.0,0.0,84.0,17202.0,3.0,Hjortronvägen 63,"Kungsängen Tibble, Upplands-Bro kommun","59.4860344,17.7313557"
21461681,2024-12-27,APARTMENT,2995000.0,0.0,86.0,34826.0,3.5,Luthagsesplanaden 8 A,"Luthagen, Uppsala kommun","59.8639336,17.625597"
21461653,2024-12-27,ROW_HOUSE,1725000.0,0.0,109.0,15826.0,4.0,Skogsbacken 33,"Skogsbacken - Hånåkni, Mora kommun","60.9907812503,14.5141410828"
21461360,2024-12-27,APARTMENT,1395000.0,0.0,60.0,23250.0,2.0,Lillekärr södra 204,"Hisings Kärra, Göteborgs kommun","57.79398,11.98823"
21452247,2024-12-27,APARTMENT,1875000.0,0.0,62.0,30242.0,3.0,Brunnehagen 27,"Tuve, Göteborgs kommun","57.7494545,11.9258308"
21461300,2024-12-27,APARTMENT,1695000.0,0.0,93.5,18128.0,3.0,Rättaregatan 102,"Lambohov, Linköpings kommun","58.3867035,15.5713081"
21461403,2024-12-27,HOUSE,1395000.0,1814.0,279.0,769.02,7.0,Hästhult 5293,"Vittsjö, Hässleholms kommun","56.3134523112,13.5622227734"
21461687,2024-12-27,HOUSE,3450000.0,2370.0,167.0,1455.7,7.0,Hornsgatan 12,"Degeränget, Piteå kommun","65.3156811696,21.4201575605"
21461709,2024-12-27,HOUSE,4395000.0,563.0,190.0,7806.39,6.0,Västerängen 17,"Skegrie, Trelleborgs kommun","55.40374,13.0823565"
21461649,2024-12-27,HOUSE,4595000.0,345.0,147.0,13318.84,5.0,Nicksborgsvägen 24,"Barkarö, Västerås kommun","59.5566635,16.4979649"
21461630,2024-12-27,APARTMENT,2450000.0,0.0,69.0,35507.0,3.0,Hagagatan 19B,"Haga, Karlstads kommun","59.38353,13.51422"
21461659,2024-12-27,APARTMENT,1990000.0,0.0,83.0,23976.0,3.0,Ferlinsgatan 81,"Löten, Uppsala kommun","59.8819,17.6499538"
21461697,2024-12-27,HOUSE,14795000.0,1201.0,244.0,12318.9,7.0,Hasseluddsvägen 27,"Uthamra, Vallentuna kommun","59.513523,18.049839"
21461566,2024-12-27,APARTMENT,2295000.0,0.0,88.0,26080.0,4.0,Lings väg 46,"Uppsala, Uppsala kommun","59.87838,17.63931"
21461713,2024-12-27,APARTMENT,2230000.0,0.0,33.0,67576.0,1.0,Godtemplarvägen 7,"Tollare, Nacka kommun","59.3027153,18.2365475"
21461702,2024-12-27,APARTMENT,2995000.0,0.0,65.0,46077.0,3.0,Brunnshögsgatan 2,"Brunnshög, Lunds kommun","55.7159,13.2297068"
